,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
0,Ibou Badji,21,1,5,65,5,7,0,0,3,4,9,20,2,0,8,6,18,13,0.714,,0.75,13.0,2.6,4.0,0.4,2023
1,Amari Bailey,19,1,2,11,2,6,0,2,1,2,2,2,0,0,0,1,0,5,0.333,0.0,0.5,5.5,2.5,1.0,0.0,2023
2,Emoni Bates,20,1,10,76,6,25,5,20,1,2,1,10,6,1,2,1,5,18,0.24,0.25,0.5,7.6,1.8,1.0,0.6,2023
3,Jules Bernard,24,1,2,10,1,5,0,3,0,0,1,1,1,0,0,1,1,2,0.2,0.0,,5.0,1.0,0.5,0.5,2023
4,Onuralp Bitim,24,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,2023
5,Anthony Black,20,1,32,662,67,132,17,47,22,35,21,85,58,19,12,34,69,173,0.508,0.362,0.629,20.7,5.4,2.7,1.8,2023
6,Leaky Black,24,1,7,40,5,8,1,2,0,0,2,7,4,2,3,1,2,11,0.625,0.5,,5.7,1.6,1.0,0.6,2023
7,Kobe Brown,24,1,22,234,22,54,11,35,1,2,6,35,14,5,3,4,36,56,0.407,0.314,0.5,10.6,2.5,1.6,0.6,2023
8,Kobe Bufkin,20,1,2,4,0,3,0,1,1,2,1,2,0,0,0,0,0,1,0.0,0.0,0.5,2.0,0.5,1.0,0.0,2023
9,Toumani Camara,23,1,32,795,85,206,27,89,30,44,64,155,30,33,16,36,88,227,0.413,0.303,0.682,24.8,7.1,4.8,0.9,2023
10,Colin Castleton,23,1,4,28,5,8,0,0,2,2,3,7,3,0,0,0,5,12,0.625,,1.0,7.0,3.0,1.8,0.8,2023
11,Malcolm Cazalon,22,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,2023
12,Sidy Cissoko,19,1,5,32,1,6,0,4,4,4,0,6,0,3,0,1,2,6,0.167,0.0,1.0,6.4,1.2,1.2,0.0,2023
13,Noah Clowney,19,1,2,27,6,9,0,1,2,2,3,5,2,0,0,1,3,14,0.667,0.0,1.0,13.5,7.0,2.5,1.0,2023
14,Bilal Coulibaly,19,1,32,842,100,203,35,88,35,55,24,132,57,30,22,47,67,270,0.493,0.398,0.636,26.3,8.4,4.1,1.8,2023
15,Ricky Council IV,22,1,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,6.0,0.0,0.0,0.0,2023
16,Dexter Dennis,24,1,4,30,10,19,1,8,1,3,1,9,4,0,1,3,1,22,0.526,0.125,0.333,7.5,5.5,2.3,1.0,2023
17,Gradey Dick,20,1,19,235,20,68,11,44,15,15,7,22,15,6,0,12,24,66,0.294,0.25,1.0,12.4,3.5,1.2,0.8,2023
18,Jordan Ford,25,1,6,22,4,7,2,3,2,2,0,2,2,0,0,1,0,12,0.571,0.667,1.0,3.7,2.0,0.3,0.3,2023
19,Alex Fudge,20,1,4,14,1,6,0,2,2,2,2,2,0,0,0,1,1,4,0.167,0.0,1.0,3.5,1.0,0.5,0.0,2023
22,Kaiser Gates,27,1,1,7,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0.0,0.0,,7.0,0.0,1.0,0.0,2023
23,Keyonte George,20,1,29,743,99,275,50,150,68,87,12,86,136,14,3,62,35,316,0.36,0.333,0.782,25.6,10.9,3.0,4.7,2023
