,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
0,1,Ibou Badji,"Dec 26, '23, POR vs. SAC",21,1,5,65,5,7,0,0,3,4,9,20,2,0,8,6,18,13,.714,,.750,13.0,2.6,4.0,0.4,2023
1,2,Amari Bailey,"Nov 12, '23, CHO @ NYK",19,1,2,11,2,6,0,2,1,2,2,2,0,0,0,1,0,5,.333,.000,.500,5.5,2.5,1.0,0.0,2023
2,3,Emoni Bates,"Oct 28, '23, CLE vs. IND",20,1,10,76,6,25,5,20,1,2,1,10,6,1,2,1,5,18,.240,.250,.500,7.6,1.8,1.0,0.6,2023
3,4,Jules Bernard,"Dec 8, '23, WAS @ BRK",24,1,2,10,1,5,0,3,0,0,1,1,1,0,0,1,1,2,.200,.000,,5.0,1.0,0.5,0.5,2023
4,5,Onuralp Bitim,"Nov 4, '23, CHI @ DEN",24,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,2023
5,6,Anthony Black,"Oct 25, '23, ORL vs. HOU",20,1,32,662,67,132,17,47,22,35,21,85,58,19,12,34,69,173,.508,.362,.629,20.7,5.4,2.7,1.8,2023
6,7,Leaky Black,"Nov 8, '23, CHO vs. WAS",24,1,7,40,5,8,1,2,0,0,2,7,4,2,3,1,2,11,.625,.500,,5.7,1.6,1.0,0.6,2023
7,8,Kobe Brown,"Oct 25, '23, LAC vs. POR",24,1,22,234,22,54,11,35,1,2,6,35,14,5,3,4,36,56,.407,.314,.500,10.6,2.5,1.6,0.6,2023
8,9,Kobe Bufkin,"Oct 29, '23, ATL @ MIL",20,1,2,4,0,3,0,1,1,2,1,2,0,0,0,0,0,1,.000,.000,.500,2.0,0.5,1.0,0.0,2023
9,10,Toumani Camara,"Oct 25, '23, POR @ LAC",23,1,32,795,85,206,27,89,30,44,64,155,30,33,16,36,88,227,.413,.303,.682,24.8,7.1,4.8,0.9,2023
