,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
0,1,Robert Archibald,"Nov 9, '02, MEM @ DEN",22,2,44,328,15,53,0,0,21,49,27,69,16,14,6,17,59,51,.283,,.429,7.5,1.2,1.6,0.4,2003
1,2,Maceo Baston,"Feb 12, '03, TOR vs. ATL",27,4,105,831,106,172,3,8,71,96,56,175,26,24,43,54,140,286,.616,.375,.740,7.9,2.7,1.7,0.2,2003
2,3,Mike Batiste,"Nov 1, '02, MEM @ DET",25,1,75,1248,197,467,18,81,69,88,82,257,52,42,16,69,120,481,.422,.222,.784,16.6,6.4,3.4,0.7,2003
3,4,Lonny Baxter,"Nov 1, '02, CHI vs. NOH",24,4,162,1884,247,530,1,5,142,216,178,477,40,37,59,108,324,637,.466,.200,.657,11.6,3.9,2.9,0.2,2003
4,5,Carlos Boozer,"Oct 29, '02, CLE @ SAC",21,13,861,26901,5847,11221,1,14,2281,3158,2037,8192,1928,765,346,1824,2612,13976,.521,.071,.722,31.2,16.2,9.5,2.2,2003
5,6,J.R. Bremer,"Oct 31, '02, BOS @ WAS",22,2,100,1946,214,622,120,360,98,131,27,181,215,56,7,83,112,646,.344,.333,.748,19.5,6.5,1.8,2.2,2003
6,7,Devin Brown,"Nov 4, '02, SAS @ MEM",24,8,465,9022,1174,2927,300,888,704,907,336,1288,679,263,58,505,747,3352,.401,.338,.776,19.4,7.2,2.8,1.5,2003
7,8,Pat Burke,"Oct 29, '02, ORL vs. PHI",29,3,127,1293,199,488,9,36,61,92,90,266,44,28,40,87,180,468,.408,.250,.663,10.2,3.7,2.1,0.3,2003
8,9,Caron Butler,"Oct 30, '02, MIA vs. ORL",22,14,881,28333,4596,10592,746,2144,2492,2942,1103,4387,2007,1163,216,1594,2129,12430,.434,.348,.847,32.2,14.1,5.0,2.3,2003
9,10,Rasual Butler,"Oct 30, '02, MIA vs. ORL",23,13,809,17219,2293,5686,911,2520,595,796,297,1934,658,288,408,528,1132,6092,.403,.362,.747,21.3,7.5,2.4,0.8,2003
10,11,Dan Dickau,"Oct 30, '02, ATL @ NJN",24,6,300,4617,608,1517,179,525,350,421,75,405,752,164,11,324,514,1745,.401,.341,.831,15.4,5.8,1.4,2.5,2003
11,12,Juan Dixon,"Oct 31, '02, WAS vs. BOS",24,7,436,8509,1400,3393,331,972,547,657,155,816,775,341,34,552,733,3678,.413,.341,.833,19.5,8.4,1.9,1.8,2003
12,13,Mike Dunleavy,"Oct 30, '02, GSW vs. SAS",22,15,986,27340,3935,8926,1304,3460,1874,2333,698,4211,2185,719,324,1369,1986,11048,.441,.377,.803,27.7,11.2,4.3,2.2,2003
13,14,Melvin Ely,"Nov 28, '02, LAC vs. NJN",24,9,375,6005,783,1702,0,3,426,682,448,1215,261,99,209,392,765,1992,.460,.000,.625,16.0,5.3,3.2,0.7,2003
14,15,Reggie Evans,"Oct 30, '02, SEA vs. PHO",22,13,809,15572,1107,2379,1,11,1074,2036,1984,5765,458,566,115,897,1895,3289,.465,.091,.528,19.2,4.1,7.1,0.6,2003
15,16,Dan Gadzuric,"Oct 30, '02, MIL @ PHI",24,10,527,7793,1049,2100,0,8,367,737,910,2326,196,242,448,357,1250,2465,.500,.000,.498,14.8,4.7,4.4,0.4,2003
16,17,Manu Ginóbili*,"Oct 29, '02, SAS @ LAL",25,16,1057,26859,4584,10262,1495,4055,3380,4089,685,3697,4001,1392,319,2116,2212,14043,.447,.369,.827,25.4,13.3,3.5,3.8,2003
17,18,Gordan Giriček,"Oct 30, '02, MEM vs. DAL",25,6,384,8824,1424,3225,289,786,533,648,167,941,584,222,47,517,749,3670,.442,.368,.823,23.0,9.6,2.5,1.5,2003
18,19,Drew Gooden,"Oct 30, '02, MEM vs. DAL",21,14,790,20127,3432,7435,88,342,1701,2239,1878,5618,896,544,474,1158,1957,8653,.462,.257,.760,25.5,11.0,7.1,1.1,2003
19,20,Marcus Haislip,"Nov 2, '02, MIL vs. ORL",22,4,89,854,125,286,7,20,54,82,51,131,16,15,34,39,100,311,.437,.350,.659,9.6,3.5,1.5,0.2,2003
20,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2003
21,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2003
22,21,Adam Harrington,"Nov 11, '02, DAL vs. POR",22,1,19,111,11,37,5,14,3,4,1,8,12,2,1,2,8,30,.297,.357,.750,5.8,1.6,0.4,0.6,2003
23,22,Junior Harrington,"Oct 30, '02, DEN @ MIN",22,3,140,3096,290,782,20,73,133,193,69,381,428,126,25,250,401,733,.371,.274,.689,22.1,5.2,2.7,3.1,2003
24,23,Juaquin Hawkins,"Oct 30, '02, HOU @ IND",29,1,58,685,57,148,10,24,10,20,16,78,47,29,6,29,57,134,.385,.417,.500,11.8,2.3,1.3,0.8,2003
25,24,Nenê,"Oct 30, '02, DEN @ MIN",20,17,965,25237,4175,7621,7,53,2552,3864,1688,5828,1719,1041,721,1688,2934,10909,.548,.132,.660,26.2,11.3,6.0,1.8,2003
26,25,Nate Huffman,"Dec 8, '02, TOR vs. POR",27,1,7,76,9,25,0,0,5,8,9,23,5,1,3,3,13,23,.360,,.625,10.9,3.3,3.3,0.7,2003
27,26,Ryan Humphrey,"Oct 29, '02, ORL vs. PHI",23,3,85,772,78,227,0,3,41,76,86,189,18,20,19,48,113,197,.344,.000,.539,9.1,2.3,2.2,0.2,2003
28,27,Casey Jacobsen,"Oct 30, '02, PHO @ SEA",21,4,287,5320,476,1210,209,594,327,425,118,516,304,121,24,210,372,1488,.393,.352,.769,18.5,5.2,1.8,1.1,2003
29,28,Marko Jarić,"Oct 30, '02, LAC vs. CLE",24,7,447,11246,1190,2944,289,840,524,718,274,1200,1600,583,128,708,967,3193,.404,.344,.730,25.2,7.1,2.7,3.6,2003
30,29,Chris Jefferies,"Nov 1, '02, TOR @ SAS",22,2,72,861,102,266,35,96,42,63,21,88,29,23,23,64,92,281,.383,.365,.667,12.0,3.9,1.2,0.4,2003
31,30,Jared Jeffries,"Oct 30, '02, WAS @ TOR",21,11,629,13579,1163,2728,73,292,604,1036,1166,2563,798,435,323,674,1529,3003,.426,.250,.583,21.6,4.8,4.1,1.3,2003
32,31,Ken Johnson,"Nov 16, '02, MIA @ WAS",24,1,16,156,15,37,0,0,2,6,4,32,0,1,12,6,20,32,.405,,.333,9.8,2.0,2.0,0.0,2003
33,32,Fred Jones,"Oct 30, '02, IND vs. HOU",23,7,430,10299,1090,2651,346,979,680,841,157,958,990,336,115,511,831,3206,.411,.353,.809,24.0,7.5,2.2,2.3,2003
