,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,Pts Won,Pts Max,Share
0,Robert Archibald,22,2,44,328,15,53,0,0,21,49,27,69,16,14,6,17,59,51,0.283,,0.429,7.5,1.2,1.6,0.4,2003,0.0,0.0,0.0
1,Maceo Baston,27,4,105,831,106,172,3,8,71,96,56,175,26,24,43,54,140,286,0.616,0.375,0.74,7.9,2.7,1.7,0.2,2003,0.0,0.0,0.0
2,Mike Batiste,25,1,75,1248,197,467,18,81,69,88,82,257,52,42,16,69,120,481,0.422,0.222,0.784,16.6,6.4,3.4,0.7,2003,0.0,0.0,0.0
3,Lonny Baxter,24,4,162,1884,247,530,1,5,142,216,178,477,40,37,59,108,324,637,0.466,0.2,0.657,11.6,3.9,2.9,0.2,2003,0.0,0.0,0.0
4,Carlos Boozer,21,13,861,26901,5847,11221,1,14,2281,3158,2037,8192,1928,765,346,1824,2612,13976,0.521,0.071,0.722,31.2,16.2,9.5,2.2,2003,1.0,585.0,0.002
5,J.R. Bremer,22,2,100,1946,214,622,120,360,98,131,27,181,215,56,7,83,112,646,0.344,0.333,0.748,19.5,6.5,1.8,2.2,2003,0.0,0.0,0.0
6,Devin Brown,24,8,465,9022,1174,2927,300,888,704,907,336,1288,679,263,58,505,747,3352,0.401,0.338,0.776,19.4,7.2,2.8,1.5,2003,0.0,0.0,0.0
7,Pat Burke,29,3,127,1293,199,488,9,36,61,92,90,266,44,28,40,87,180,468,0.408,0.25,0.663,10.2,3.7,2.1,0.3,2003,0.0,0.0,0.0
8,Caron Butler,22,14,881,28333,4596,10592,746,2144,2492,2942,1103,4387,2007,1163,216,1594,2129,12430,0.434,0.348,0.847,32.2,14.1,5.0,2.3,2003,179.0,585.0,0.306
9,Rasual Butler,23,13,809,17219,2293,5686,911,2520,595,796,297,1934,658,288,408,528,1132,6092,0.403,0.362,0.747,21.3,7.5,2.4,0.8,2003,0.0,0.0,0.0
10,Dan Dickau,24,6,300,4617,608,1517,179,525,350,421,75,405,752,164,11,324,514,1745,0.401,0.341,0.831,15.4,5.8,1.4,2.5,2003,0.0,0.0,0.0
11,Juan Dixon,24,7,436,8509,1400,3393,331,972,547,657,155,816,775,341,34,552,733,3678,0.413,0.341,0.833,19.5,8.4,1.9,1.8,2003,0.0,0.0,0.0
